X,Y,Z,Temperature_C,Pressure_Pa,V_Mag_ms,Power_W_Input
0.049,0.014,0.011,22.446,218542.906,8.371,68.000
0.050,0.026,0.013,22.475,273978.875,9.051,68.000
0.052,0.001,0.019,22.695,188589.188,2.655,68.000
0.050,0.011,0.014,18.480,240291.062,6.537,68.000
0.049,0.019,0.011,20.818,249726.281,7.377,68.000
0.049,0.025,0.010,18.849,280711.750,5.363,68.000
0.049,0.001,0.009,25.187,104251.617,1.376,68.000
0.049,0.009,0.013,21.489,229212.875,7.700,68.000
0.048,0.013,0.013,20.188,238866.031,7.118,68.000
0.001,0.011,0.012,20.968,165346.250,6.648,68.000
0.058,0.001,0.007,23.230,47882.992,2.044,68.000
0.052,0.003,0.012,19.636,258615.312,5.952,68.000
0.050,0.007,0.011,20.469,265364.062,7.945,68.000
0.049,0.000,0.011,32.763,16128.445,1.585,68.000
0.049,0.007,0.013,20.802,224459.688,7.625,68.000
0.041,0.000,0.008,22.603,-2618.141,-0.077,68.000
0.050,0.021,0.012,21.605,249934.219,6.901,68.000
0.050,0.015,0.012,22.087,230314.125,8.425,68.000
0.048,0.005,0.010,19.171,267964.250,5.603,68.000
0.047,0.000,0.005,23.029,92720.242,0.339,68.000
0.044,0.001,0.018,22.532,128288.258,1.330,68.000
0.047,0.001,0.007,23.112,136498.219,1.538,68.000
0.041,0.001,0.011,19.116,180021.594,2.805,68.000
0.050,0.005,0.012,20.285,262390.594,7.122,68.000
0.060,0.001,0.013,19.557,178602.219,0.588,68.000
0.049,0.011,0.011,21.982,250442.688,8.285,68.000
0.049,0.001,0.017,25.768,150200.375,2.119,68.000
0.042,0.001,0.008,21.161,145164.406,1.181,68.000
0.052,0.005,0.012,18.700,255104.875,6.623,68.000
0.001,0.012,0.011,18.407,213471.062,6.064,68.000
0.052,0.000,0.022,22.297,-8688.039,-0.878,68.000
0.049,0.010,0.010,21.627,280615.688,7.423,68.000
0.050,0.001,0.011,23.958,198040.656,4.337,68.000
0.048,0.010,0.013,21.366,225422.781,6.140,68.000
0.049,0.021,0.011,20.310,262720.750,7.521,68.000
0.041,0.001,0.006,20.387,199322.094,2.521,68.000
0.050,0.025,0.012,21.423,268963.375,6.437,68.000
0.048,0.002,0.011,20.069,255352.938,6.010,68.000
0.001,0.012,0.012,21.082,174186.125,7.044,68.000
0.050,0.019,0.012,21.284,242370.812,9.134,68.000
0.054,0.002,0.007,21.421,188562.000,2.642,68.000
0.052,0.000,0.016,28.870,37271.602,-0.320,68.000
0.042,0.001,0.014,19.998,208303.750,3.533,68.000
0.048,0.018,0.012,21.539,234951.156,8.229,68.000
0.049,0.024,0.010,18.750,285267.375,5.860,68.000
0.055,0.000,0.012,25.107,-42889.113,-0.884,68.000
0.050,0.025,0.012,21.365,269518.125,6.510,68.000
0.049,0.023,0.011,20.034,269954.625,6.315,68.000
0.047,0.002,0.010,19.348,237249.312,4.999,68.000
0.051,0.003,0.014,17.779,243756.844,5.711,68.000
0.050,0.010,0.012,21.707,233574.219,8.016,68.000
0.045,0.001,0.013,23.358,205430.188,4.442,68.000
0.051,0.020,0.012,21.276,241482.594,8.502,68.000
0.051,0.021,0.011,21.933,239899.750,6.538,68.000
0.045,0.000,0.016,27.763,94208.836,-0.148,68.000
0.050,0.009,0.013,20.697,232731.938,7.298,68.000
0.049,0.027,0.013,25.544,256573.750,8.966,68.000
0.052,0.006,0.013,18.711,245937.656,7.035,68.000
0.002,0.013,0.011,19.188,216384.031,6.706,68.000
0.051,0.000,0.011,27.075,-20310.125,-0.325,68.000
0.046,0.002,0.012,20.989,221024.594,5.747,68.000
0.048,0.023,0.013,20.178,288347.500,9.139,68.000
0.042,0.000,0.016,26.948,51899.570,1.402,68.000
0.001,0.012,0.013,21.124,158850.062,7.510,68.000
0.050,0.004,0.010,18.917,281399.094,5.901,68.000
0.049,0.023,0.010,19.598,275393.062,5.614,68.000
0.048,0.007,0.013,20.247,207021.125,6.791,68.000
0.048,0.021,0.014,19.154,275743.406,9.892,68.000
0.098,0.011,0.013,20.227,195403.094,6.184,68.000
0.041,0.001,0.011,24.337,52969.867,0.442,68.000
0.048,0.013,0.014,19.813,236888.875,6.828,68.000
0.059,0.000,0.013,19.926,6939.258,0.898,68.000
0.058,0.001,0.015,22.686,66585.180,1.501,68.000
0.044,0.001,0.015,19.603,211021.344,4.191,68.000
0.055,0.002,0.018,21.614,227102.750,3.077,68.000
0.001,0.012,0.013,21.330,117345.195,7.735,68.000
0.050,0.003,0.012,19.800,243773.062,6.482,68.000
0.058,0.001,0.013,20.543,230763.438,2.115,68.000
0.050,0.015,0.012,21.923,235323.875,8.523,68.000
0.044,0.001,0.011,23.082,107894.102,2.385,68.000
0.049,0.005,0.011,19.581,259837.438,6.152,68.000
0.049,0.001,0.016,22.497,275143.906,4.509,68.000
0.047,0.001,0.005,22.032,188110.031,2.593,68.000
0.050,0.011,0.011,22.027,243127.250,8.396,68.000
0.003,0.012,0.012,20.809,172176.000,7.182,68.000
0.097,0.011,0.012,18.757,208081.031,7.193,68.000
0.057,0.000,0.014,25.624,26572.867,-0.419,68.000
0.049,0.001,0.018,21.818,263343.188,3.975,68.000
0.049,0.010,0.011,21.773,258724.062,8.093,68.000
0.056,0.001,0.008,22.226,192223.562,2.412,68.000
0.049,0.001,0.020,22.227,191412.562,2.938,68.000
0.049,0.009,0.015,18.989,230990.938,6.057,68.000
0.051,0.001,0.004,23.550,127459.398,2.294,68.000
0.056,0.001,0.011,25.541,106562.195,0.447,68.000
0.050,0.020,0.013,18.917,270173.250,9.022,68.000
0.052,0.005,0.011,18.784,276264.281,7.177,68.000
0.057,0.001,0.007,21.356,187236.406,2.276,68.000
0.051,0.003,0.014,18.132,245139.469,5.842,68.000
0.051,0.004,0.009,18.382,290720.031,5.635,68.000
0.002,0.013,0.010,17.754,251672.156,5.537,68.000
0.049,0.002,0.014,20.487,233863.375,5.291,68.000
0.050,0.014,0.011,22.284,220439.750,8.503,68.000
0.057,0.001,0.017,20.245,212029.375,2.245,68.000
0.048,0.006,0.010,18.784,265556.125,5.984,68.000
0.059,0.001,0.009,20.401,206133.594,1.138,68.000
0.059,0.000,0.012,22.883,30829.023,0.841,68.000
0.050,0.018,0.013,21.246,243285.688,8.756,68.000
0.048,0.001,0.015,26.101,204898.812,3.230,68.000
0.050,0.013,0.012,21.267,237122.469,8.933,68.000
0.050,0.016,0.012,22.591,224690.781,8.256,68.000
0.050,0.008,0.014,19.172,223361.438,6.394,68.000
0.045,0.001,0.014,21.487,218159.281,4.968,68.000
0.050,0.025,0.012,22.188,271100.469,7.350,68.000
0.049,0.008,0.013,21.223,231433.000,7.936,68.000
0.052,0.001,0.009,21.658,231562.781,4.252,68.000
0.051,0.006,0.013,19.124,246065.219,7.003,68.000
0.044,0.001,0.019,20.852,213997.125,3.515,68.000
0.051,0.024,0.013,21.758,261223.562,9.346,68.000
0.049,0.015,0.013,21.452,239304.531,8.684,68.000
0.059,0.001,0.007,20.453,156192.562,1.639,68.000
0.051,0.003,0.010,18.955,280975.094,5.962,68.000
0.045,0.001,0.016,20.800,261858.969,4.395,68.000
0.051,0.004,0.010,18.408,290335.406,5.963,68.000
0.050,0.019,0.012,22.211,238155.250,8.204,68.000
0.050,0.015,0.012,22.068,221205.594,8.375,68.000
0.053,0.002,0.007,21.626,185689.406,2.473,68.000
0.048,0.005,0.011,20.562,244016.562,6.478,68.000
0.051,0.015,0.013,21.692,247336.031,8.215,68.000
0.047,0.000,0.017,29.238,-7715.641,-1.144,68.000
0.055,0.000,0.010,28.054,28775.180,3.541,68.000
0.051,0.000,0.020,24.897,736.250,-0.026,68.000
0.041,0.001,0.014,20.235,109290.367,1.056,68.000
0.100,0.012,0.013,19.875,81435.180,8.196,68.000
0.044,0.001,0.019,21.618,226397.656,3.740,68.000
0.050,0.022,0.013,20.745,251935.375,8.665,68.000
0.050,0.011,0.010,21.371,289424.062,7.095,68.000
0.048,0.021,0.012,20.241,259883.281,7.993,68.000
0.050,0.016,0.014,19.211,266488.469,7.972,68.000
0.043,0.001,0.013,20.863,208994.656,4.537,68.000
0.058,0.001,0.018,20.185,130975.414,0.774,68.000
0.052,0.023,0.012,22.708,227474.469,8.095,68.000
0.059,0.001,0.017,21.511,69282.492,0.908,68.000
0.051,0.006,0.011,19.187,265862.531,7.753,68.000
0.058,0.000,0.012,24.263,44756.648,0.777,68.000
0.055,0.001,0.021,21.192,130060.008,0.971,68.000
0.049,0.018,0.010,21.600,228145.531,7.201,68.000
0.050,0.001,0.023,20.503,145423.875,1.441,68.000
0.051,0.007,0.014,19.032,218908.750,6.432,68.000
0.049,0.026,0.011,19.196,275605.938,5.659,68.000
0.048,0.000,0.018,24.145,22623.852,-0.062,68.000
0.043,0.000,0.015,25.251,78273.523,0.640,68.000
0.051,0.001,0.019,24.094,134933.688,1.736,68.000
0.052,0.002,0.012,21.099,264493.094,4.921,68.000
0.058,0.001,0.013,20.766,246869.250,2.926,68.000
0.050,0.000,0.002,20.683,-46217.141,-1.593,68.000
0.057,0.001,0.017,21.033,171223.281,1.815,68.000
0.050,0.010,0.010,21.305,278268.281,7.359,68.000
0.042,0.000,0.010,23.380,9763.320,-0.334,68.000
0.051,0.011,0.013,20.189,229298.250,7.306,68.000
0.050,0.000,0.018,25.073,37603.523,0.067,68.000
0.050,0.014,0.012,21.175,234645.469,8.803,68.000
0.051,0.022,0.011,21.521,241186.250,5.086,68.000
